date,precision_in_bits,pphys,dx,dz,dm,dx2,dz2,dm2,nl1,error_rate,qubits,code_cycles
2024-02-28,8,0.0001,9,3,3,25,9,9,4,0.004,18630,1.0e+6
2024-02-28,8,0.0001,13,3,3,25,9,9,4,0.004,22038,1.0e+6
2024-02-28,8,0.0001,9,7,3,25,9,9,4,0.004,22662,1.0e+6
2024-02-28,8,0.0001,9,3,7,25,9,9,4,0.004,18694,2.0e+6
2024-02-28,8,0.0001,9,3,3,29,9,9,4,0.004,20934,1.0e+6
2024-02-28,8,0.0001,9,3,3,25,13,9,4,0.004,21030,1.0e+6
2024-02-28,8,0.0001,9,3,3,25,9,13,4,0.004,22886,2.0e+6
2024-02-28,8,0.0001,9,3,3,25,9,9,8,0.004,23970,1.0e+6
2024-02-28,8,0.0001,9,3,3,25,9,9,8,0.004,23970,1.0e+6
2024-02-28,8,0.0001,13,3,3,25,9,9,8,0.004,30786,2.0e+6
2024-02-28,8,0.0001,9,7,3,25,9,9,8,0.004,32034,2.0e+6
2024-02-28,8,0.0001,9,3,7,25,9,9,8,0.004,24098,1.0e+6
2024-02-28,8,0.0001,9,3,3,29,9,9,8,0.004,26274,1.0e+6
2024-02-28,8,0.0001,9,3,3,25,13,9,8,0.004,26370,1.0e+6
2024-02-28,8,0.0001,9,3,3,25,9,13,8,0.004,28562,2.0e+6
2024-02-28,8,0.0001,9,3,3,25,9,9,12,0.004,29310,2.0e+6
2024-02-28,128,0.0001,9,3,3,25,9,9,8,7.326460601444303555479956015270810411e-25,23970,1617975.0616415574570915070961213764744
2024-02-28,128,0.0001,13,3,3,25,9,9,8,1.0406107768454551950203552244977591674e-24,30786,2078055.0913789197899289974368312261149
2024-02-28,128,0.0001,9,7,3,25,9,9,8,1.0983473147774566478114990886909637664e-24,32034,2162295.0971167690312332558577586106834
2024-02-28,128,0.0001,9,3,7,25,9,9,8,8.8540906228318260442675558709053693451e-25,24098,1904630.37007394931339365540067925665
2024-02-28,128,0.0001,9,3,3,29,9,9,8,6.5582256008492599704908476357726846759e-25,26274,1773495.0707765792946477688383712064252
2024-02-28,128,0.0001,9,3,3,25,13,9,8,6.5822330071398070867026897295867570955e-25,26370,1779975.0637347652424890212289687786152
2024-02-28,128,0.0001,9,3,3,25,9,13,8,2.9441782168552132284369440713879515753e-25,28562,2784795.0534341525182137128697142116202
2024-02-28,128,0.0001,9,3,3,25,9,9,12,8.4593473422077700516640773214165226747e-25,29310,1978425.08004799876242851526332084236
2024-02-28,128,0.0001,9,3,3,25,9,9,8,7.326460601444303555479956015270810411e-25,23970,1617975.0616415574570915070961213764744
2024-02-28,128,0.0001,13,3,3,25,9,9,8,1.0406107768454551950203552244977591674e-24,30786,2078055.0913789197899289974368312261149
2024-02-28,128,0.0001,9,7,3,25,9,9,8,1.0983473147774566478114990886909637664e-24,32034,2162295.0971167690312332558577586106834
2024-02-28,128,0.0001,9,3,7,25,9,9,8,8.8540906228318260442675558709053693451e-25,24098,1904630.37007394931339365540067925665
2024-02-28,128,0.0001,9,3,3,29,9,9,8,6.5582256008492599704908476357726846759e-25,26274,1773495.0707765792946477688383712064252
2024-02-28,128,0.0001,9,3,3,25,13,9,8,6.5822330071398070867026897295867570955e-25,26370,1779975.0637347652424890212289687786152
2024-02-28,128,0.0001,9,3,3,25,9,13,8,2.9441782168552132284369440713879515753e-25,28562,2784795.0534341525182137128697142116202
2024-02-28,128,0.0001,9,3,3,25,9,9,12,8.4593473422077700516640773214165226747e-25,29310,1978425.08004799876242851526332084236
2024-02-28,128,0.0001,5,-1,-1,29,13,13,12,-39516283.814292889335084220064583316723,22830,0.00010124436108146442067306275123125593609
2024-02-28,128,0.0001,9,-1,-1,29,13,13,12,-150018100334030977844456871400.53646666,26334,2.5424206592277141701435013243725725337e-29
2024-02-28,128,0.0001,5,3,-1,29,13,13,12,-536587270496.56872067207569822215196167,31086,0.0000000026070918387216293334899841360746762057
2024-02-28,128,0.0001,5,-1,3,29,13,13,12,0.0000000099377535123208085640616425358271533224,23022,2266876.9450061753569917912733988660054
2024-02-28,128,0.0001,5,-1,-1,33,13,13,12,-39516283.814290543810857881701943708489,25774,0.00011430013852447836148761246067817942439
2024-02-28,128,0.0001,5,-1,-1,29,17,13,12,-39516283.814308197338016372820614569494,25614,0.0001135905854025178082967191930485862269
2024-02-28,128,0.0001,5,-1,-1,29,13,17,12,-39516283.814292059662167609129457431407,28142,0.00016320199387590175408989212034762368141
2024-02-28,128,0.0001,5,-1,-1,29,13,13,16,-39516283.814292868360452244125757785387,22986,0.00010193617537531942992981204399773217039
2024-02-28,128,0.0001,9,3,3,25,9,9,8,7.326460601444303555479956015270810411e-25,23970,1617975.0616415574570915070961213764744
2024-02-28,128,0.0001,13,3,3,25,9,9,8,1.0406107768454551950203552244977591674e-24,30786,2078055.0913789197899289974368312261149
2024-02-28,128,0.0001,9,7,3,25,9,9,8,1.0983473147774566478114990886909637664e-24,32034,2162295.0971167690312332558577586106834
2024-02-28,128,0.0001,9,3,7,25,9,9,8,8.8540906228318260442675558709053693451e-25,24098,1904630.37007394931339365540067925665
2024-02-28,128,0.0001,9,3,3,29,9,9,8,6.5582256008492599704908476357726846759e-25,26274,1773495.0707765792946477688383712064252
2024-02-28,128,0.0001,9,3,3,25,13,9,8,6.5822330071398070867026897295867570955e-25,26370,1779975.0637347652424890212289687786152
2024-02-28,128,0.0001,9,3,3,25,9,13,8,2.9441782168552132284369440713879515753e-25,28562,2784795.0534341525182137128697142116202
2024-02-28,128,0.0001,9,3,3,25,9,9,12,8.4593473422077700516640773214165226747e-25,29310,1978425.08004799876242851526332084236
2024-02-28,128,0.0001,5,-1,-1,29,13,13,12,-39516283.814292889335084220064583316723,22830,0.00010124436108146442067306275123125593609
2024-02-28,128,0.0001,9,-1,-1,29,13,13,12,-150018100334030977844456871400.53646666,26334,2.5424206592277141701435013243725725337e-29
2024-02-28,128,0.0001,5,3,-1,29,13,13,12,-536587270496.56872067207569822215196167,31086,0.0000000026070918387216293334899841360746762057
2024-02-28,128,0.0001,5,-1,3,29,13,13,12,0.0000000099377535123208085640616425358271533224,23022,2266876.9450061753569917912733988660054
2024-02-28,128,0.0001,5,-1,-1,33,13,13,12,-39516283.814290543810857881701943708489,25774,0.00011430013852447836148761246067817942439
2024-02-28,128,0.0001,5,-1,-1,29,17,13,12,-39516283.814308197338016372820614569494,25614,0.0001135905854025178082967191930485862269
2024-02-28,128,0.0001,5,-1,-1,29,13,17,12,-39516283.814292059662167609129457431407,28142,0.00016320199387590175408989212034762368141
2024-02-28,128,0.0001,5,-1,-1,29,13,13,16,-39516283.814292868360452244125757785387,22986,0.00010193617537531942992981204399773217039
2024-02-28,128,0.0001,9,3,-5,25,9,9,8,1.2386780319906557670136762064334047702e+188,23714,3.8090587054125214511601570452811131135e-211
2024-02-28,128,0.0001,13,3,-5,25,9,9,8,7.6594566791201056819749195815941888518e+192,30530,1.6399754101694006695356058572224373269e-216
2024-02-28,128,0.0001,9,7,-5,25,9,9,8,3.3212476118419964455694597177076949513e+201,31778,2.2975337710223091864777789546895970501e-226
2024-02-28,128,0.0001,9,3,-1,25,9,9,8,-10748283768235673848.091524661578169674,23842,6.2579883084988411662789162342437715902e-18
2024-02-28,128,0.0001,9,3,-5,29,9,9,8,1.2386780313165797961271127911557691246e+188,26018,4.179138460759563575629164384563346477e-211
2024-02-28,128,0.0001,9,3,-5,25,13,9,8,1.2386780361779113233746655415517448729e+188,26114,4.194558431655840744990698355794560902e-211
2024-02-28,128,0.0001,9,3,-5,25,9,13,8,1.238678030125740194157093759712917396e+188,28306,6.5673807629175222487849777413896015292e-211
2024-02-28,128,0.0001,9,3,-5,25,9,9,12,1.2386780319819925739881750088075906384e+188,28926,4.6462356461158809787905120975789828204e-211
2024-02-28,128,0.0001,9,3,3,25,9,9,8,7.326460601444303555479956015270810411e-25,23970,1617975.0616415574570915070961213764744
2024-02-28,128,0.0001,11,3,3,25,9,9,8,6.7561741053674800195547993127350575735e-25,27186,1835055.0675094610020991058416699434235
2024-02-28,128,0.0001,9,5,3,25,9,9,8,7.5932194164381476584807521133680505088e-25,28002,1890135.0731114640649867879007898906817
2024-02-28,128,0.0001,9,3,5,25,9,9,8,6.3863838737732987556573651927259024758e-25,24034,1622295.0582198461324693720400303891982
2024-02-28,128,0.0001,9,3,3,27,9,9,8,6.1355086878056268613287478610344832132e-25,25098,1694115.0660566872657219411069129728811
2024-02-28,128,0.0001,9,3,3,25,11,9,8,6.228764605112952268858458690880329918e-25,25170,1698975.0597517482638457484097734050591
2024-02-28,128,0.0001,9,3,3,25,9,11,8,2.5675265596346712696497513708281469118e-25,26106,2153745.0400575795607773582133339942873
2024-02-28,128,0.0001,9,3,3,25,9,9,10,7.8758524957558467901755049375109539542e-25,26640,1798200.0706318873183550483265116846775
2024-02-28,128,0.0001,9,3,3,25,9,9,8,7.326460601444303555479956015270810411e-25,23970,1617975.0616415574570915070961213764744
2024-02-28,128,0.0001,11,3,3,25,9,9,8,6.7561741053674800195547993127350575735e-25,27186,1835055.0675094610020991058416699434235
2024-02-28,128,0.0001,9,5,3,25,9,9,8,7.5932194164381476584807521133680505088e-25,28002,1890135.0731114640649867879007898906817
2024-02-28,128,0.0001,9,3,5,25,9,9,8,6.3863838737732987556573651927259024758e-25,24034,1622295.0582198461324693720400303891982
2024-02-28,128,0.0001,9,3,3,27,9,9,8,6.1355086878056268613287478610344832132e-25,25098,1694115.0660566872657219411069129728811
2024-02-28,128,0.0001,9,3,3,25,11,9,8,6.228764605112952268858458690880329918e-25,25170,1698975.0597517482638457484097734050591
2024-02-28,128,0.0001,9,3,3,25,9,11,8,2.5675265596346712696497513708281469118e-25,26106,2153745.0400575795607773582133339942873
2024-02-28,128,0.0001,9,3,3,25,9,9,10,7.8758524957558467901755049375109539542e-25,26640,1798200.0706318873183550483265116846775
2024-02-28,128,0.0001,1,1,1,1,1,1,2,0.041042201259572396714924326583987089653,152,12909.946558512306198758504787665009526
2024-02-28,128,0.0001,3,1,1,1,1,1,2,0.039686134539181975167239075148353455645,348,23723.158731652218155743546130895978173
2024-02-28,128,0.0001,1,3,1,1,1,1,2,0.050107686997363653846142874745204159588,264,33948.847448372738869625403194742015248
2024-02-28,128,0.0001,1,1,3,1,1,1,2,0.097997944896768741863298020638129475555,168,95079.593692278121213742254340815618094
2024-02-28,128,0.0001,1,1,1,3,1,1,2,0.0049925296634323524986663653118499243224,256,25616.339939287245681351384900866195745
2024-02-28,128,0.0001,1,1,1,1,3,1,2,0.068618500891996129604892302679325127147,200,17614.304307882745416460952054941932637
2024-02-28,128,0.0001,1,1,1,1,1,3,2,0.10161489296145453547641231233319453036,500,36350.501309350506066565218307723194754
2024-02-28,128,0.0001,1,1,1,1,1,1,4,0.033340358586121244331081138584485360292,230,9368.0649471889433444347398805041990002
2024-02-28,128,0.0001,9,3,3,25,9,9,8,7.326460601444303555479956015270810411e-25,23970,1617975.0616415574570915070961213764744
2024-02-28,128,0.0001,11,3,3,25,9,9,8,6.7561741053674800195547993127350575735e-25,27186,1835055.0675094610020991058416699434235
2024-02-28,128,0.0001,9,5,3,25,9,9,8,7.5932194164381476584807521133680505088e-25,28002,1890135.0731114640649867879007898906817
2024-02-28,128,0.0001,9,3,5,25,9,9,8,6.3863838737732987556573651927259024758e-25,24034,1622295.0582198461324693720400303891982
2024-02-28,128,0.0001,9,3,3,27,9,9,8,6.1355086878056268613287478610344832132e-25,25098,1694115.0660566872657219411069129728811
2024-02-28,128,0.0001,9,3,3,25,11,9,8,6.228764605112952268858458690880329918e-25,25170,1698975.0597517482638457484097734050591
2024-02-28,128,0.0001,9,3,3,25,9,11,8,2.5675265596346712696497513708281469118e-25,26106,2153745.0400575795607773582133339942873
2024-02-28,128,0.0001,9,3,3,25,9,9,10,7.8758524957558467901755049375109539542e-25,26640,1798200.0706318873183550483265116846775
2024-02-28,128,0.0001,1,1,1,1,1,1,2,0.041042201259572396714924326583987089653,152,12909.946558512306198758504787665009526
2024-02-28,128,0.0001,3,1,1,1,1,1,2,0.039686134539181975167239075148353455645,348,23723.158731652218155743546130895978173
2024-02-28,128,0.0001,1,3,1,1,1,1,2,0.050107686997363653846142874745204159588,264,33948.847448372738869625403194742015248
2024-02-28,128,0.0001,1,1,3,1,1,1,2,0.097997944896768741863298020638129475555,168,95079.593692278121213742254340815618094
2024-02-28,128,0.0001,1,1,1,3,1,1,2,0.0049925296634323524986663653118499243224,256,25616.339939287245681351384900866195745
2024-02-28,128,0.0001,1,1,1,1,3,1,2,0.068618500891996129604892302679325127147,200,17614.304307882745416460952054941932637
2024-02-28,128,0.0001,1,1,1,1,1,3,2,0.10161489296145453547641231233319453036,500,36350.501309350506066565218307723194754
2024-02-28,128,0.0001,1,1,1,1,1,1,4,0.033340358586121244331081138584485360292,230,9368.0649471889433444347398805041990002
2024-02-28,128,0.0001,1,1,-1,1,-1,1,2,-0.060622321118604990396709668478917181799,88,61.542674496979079841377063397775862405
2024-02-28,128,0.0001,3,1,-1,1,-1,1,2,-178.28770566961427243446596867064288672,284,0.081227311540991610599027347839637380428
2024-02-28,128,0.0001,1,3,-1,1,-1,1,2,-1.1725722945556541526971977898440771602,200,14.660356540385732056421877390698652888
2024-02-28,128,0.0001,1,1,1,1,-1,1,2,0.15782264385817002788584029375562096382,104,0.076495597643568873859895473360712538752
2024-02-28,128,0.0001,1,1,-1,3,-1,1,2,-0.24060231518634323456272407177394625035,96,1.5301224152331550467803114448155383734
2024-02-28,128,0.0001,1,1,-1,1,1,1,2,0.023478279178957255685416308043994067875,136,521.46584750263595684388557117961548661
2024-02-28,128,0.0001,1,1,-1,1,-1,3,2,-0.27629828455020880042597227730726518912,436,17.774584061573282982879786253749146733
2024-02-28,128,0.0001,1,1,-1,1,-1,1,4,-0.05726183631942343975593701899758282152,150,107.79499419265488458075572287500569179
